line_ID,character,line
319,Kelly,14
320,Toby,8
320,Stanley,2
320,Ryan,5
320,Pam,19
320,Oscar,3
320,Michael,78
320,Kevin,16
320,Karen,4
320,Jim,24
320,Dwight,54
320,Darryl,31
320,Creed,3
320,Angela,1
320,Andy,18
320,Kelly,6
321,Michael,53
321,Stanley,1
321,Ryan,2
321,Phyllis,1
321,Pam,14
321,Oscar,5
321,Kevin,8
321,Karen,4
321,Kelly,10
321,Jim,46
321,Dwight,31
321,Creed,8
321,Angela,11
321,Andy,34
322,Toby,7
322,Ryan,4
322,Phyllis,12
322,Pam,34
322,Michael,79
322,Meredith,5
322,Kelly,4
322,Kevin,11
322,Jim,31
322,Jan,11
322,Dwight,42
322,Creed,6
322,Angela,11
322,Andy,10
322,Karen,15
323,Michael,104
323,Toby,4
323,Stanley,11
323,Ryan,3
323,Phyllis,1
323,Pam,23
323,Oscar,5
323,Meredith,2
323,Angela,8
323,Kelly,9
323,Karen,8
323,Jim,22
323,Dwight,38
323,David,9
323,Creed,2
323,Andy,16
323,Kevin,5
324,Meredith,6
324,Stanley,7
324,Ryan,4
324,Phyllis,4
324,Pam,45
324,Oscar,11
324,Michael,117
324,Kevin,17
324,Kelly,3
324,Karen,39
324,Jim,65
324,Jan,43
324,Dwight,60
324,David,45
324,Creed,3
324,Angela,6
324,Andy,22
399,Meredith,27
399,Michael,267
399,Oscar,11
399,Phyllis,13
399,Toby,19
399,Ryan,53
399,Stanley,24
399,Kevin,45
399,Roy,14
399,Kelly,50
399,Pam,65
399,Jim,90
399,Jan,38
399,Dwight,114
399,David,2
399,Darryl,2
399,Creed,15
399,Carol,7
399,Angela,42
399,Andy,82
399,Karen,12
410,Toby,7
410,Stanley,10
410,Phyllis,2
410,Pam,15
410,Oscar,10
410,Karen,24
410,Kevin,2
410,Jim,69
410,Dwight,38
410,Andy,8
410,Michael,81
411,Michael,65
411,Toby,16
411,Stanley,2
411,Phyllis,4
411,Pam,11
411,Oscar,7
411,Meredith,5
411,Kevin,2
411,Kelly,1
411,Jim,68
411,Dwight,23
411,Creed,12
411,Angela,7
411,Andy,7
412,Toby,3
412,Ryan,10
412,Pam,21
412,Oscar,1
412,Michael,77
412,Meredith,1
412,Kelly,15
412,Jim,14
412,Jan,26
412,Dwight,5
412,David,4
412,Darryl,3
412,Kevin,3
413,Pam,28
413,Stanley,1
413,Phyllis,1
413,Michael,89
413,Jim,38
413,Jan,72
413,Dwight,16
413,Angela,12
413,Andy,10
414,Stanley,1
414,Phyllis,9
414,Pam,34
414,Oscar,2
414,Kevin,20
414,Michael,71
414,Jan,1
414,Dwight,17
